date,high,open,low,close,quantity,amount,ma7,ma20,ma60,ma120,ma453
2018-10-01,6667.09,6626.57,6510.0,6611.61,20621.506894,136115256.968307,,,,,
2018-10-02,6640.0,6610.0,6494.0,6525.79,28245.810088,185725492.280239,,,,,
2018-10-03,6549.0,6525.79,6430.0,6510.0,28451.969138,184622957.024907,,,,,
2018-10-04,6643.46,6510.01,6505.09,6593.79,20074.300818,132348680.676006,,,,,
2018-10-05,6697.0,6591.69,6543.08,6635.65,16096.552392,106264514.657577,,,,,
2018-10-06,6651.0,6635.65,6566.77,6594.27,10939.505391,72247942.4142941,,,,,
2018-10-07,6640.0,6596.44,6525.0,6615.26,17406.831762,114489082.753643,6583.767142857143,,,,
2018-10-08,6715.6,6615.26,6587.0,6673.01,23123.419541,153704602.430241,6592.538571428571,,,,
2018-10-09,6685.38,6673.01,6607.0,6656.61,15354.779469,102115186.428823,6611.227142857142,,,,
2018-10-10,6659.95,6656.67,6530.0,6631.0,15390.661444,101609680.882173,6628.512857142857,,,,
2018-10-11,6633.92,6630.21,6205.0,6252.68,48712.400332,308153124.445824,6579.782857142856,,,,
2018-10-12,6360.0,6252.71,6209.0,6298.01,29004.071419,183030273.011275,6531.548571428572,,,,
2018-10-13,6345.0,6298.0,6285.07,6332.93,19098.070025,120728650.995967,6494.214285714285,,,,
2018-10-14,6416.0,6332.92,6308.0,6339.34,15627.411314,99527294.0848306,6454.797142857143,,,,
2018-10-15,7680.0,6339.34,6300.0,6752.5,90748.031246,627984505.555573,6466.152857142858,,,,
2018-10-16,6900.0,6752.5,6670.0,6759.27,27557.957764,186122772.222861,6480.818571428572,,,,
2018-10-17,6811.12,6762.76,6676.01,6740.89,26641.431379,179641733.164237,6496.517142857143,,,,
2018-10-18,6796.0,6739.01,6567.0,6618.96,20116.521941,134777360.154434,6548.842857142858,,,,
2018-10-19,6648.14,6618.96,6523.0,6528.88,20772.60077,136686215.669055,6581.824285714286,,,,
2018-10-20,6617.65,6528.88,6505.55,6588.4,19240.722247,126325797.495706,6618.32,6562.9425,,,
2018-10-21,6663.9,6585.72,6580.0,6590.11,6515.357792,43146401.5891872,6654.144285714285,6561.8675,,,
2018-10-22,6639.0,6590.12,6535.27,6581.2,16213.69266,106815019.55165,6629.672857142857,6564.638000000001,,,
2018-10-23,6595.0,6581.2,6515.45,6553.51,13856.601756,90969791.0251596,6600.278571428571,6566.813500000001,,,
2018-10-24,6630.0,6553.51,6547.53,6565.5,11951.543977,78795617.0214158,6575.222857142857,6565.399,,,
2018-10-25,6575.09,6566.81,6502.8,6528.09,10342.701244,67691945.4459625,6562.2414285714285,6560.021000000001,,,
2018-10-26,6600.0,6528.13,6515.01,6538.63,9443.504156,61792487.7964233,6563.634285714285,6557.239,,,
2018-10-27,6558.35,6538.63,6463.04,6505.6,7776.907864,50667220.0444126,6551.805714285714,6551.756,,,
2018-10-28,6514.17,6505.6,6453.0,6489.93,5743.933728,37298357.2627134,6537.494285714287,6542.602,,,
2018-10-29,6505.01,6489.93,6315.0,6344.5,13827.224067,88484721.0362451,6503.679999999999,6526.996499999999,,,
2018-10-30,6395.0,6344.5,6317.01,6330.87,8877.175385,56393439.1828888,6471.874285714286,6511.99,,,
2018-10-31,6428.0,6330.01,6245.02,6371.93,12148.888216,76970488.2816604,6444.221428571429,6517.9525,,,
2018-11-01,6442.65,6369.52,6348.66,6410.0,9099.035841,58031686.8315247,6427.351428571428,6523.552000000001,,,
2018-11-02,6460.34,6410.0,6388.2,6433.98,9739.440679,62589428.2202487,6412.401428571429,6528.6044999999995,,,
2018-11-03,6439.97,6432.8,6345.0,6387.09,7661.241476,48934237.9399193,6395.471428571429,6530.992,,,
2018-11-04,6525.0,6388.0,6359.0,6485.85,10592.394943,68169573.18695,6394.888571428571,6517.6595,,,
2018-11-05,6504.39,6485.85,6431.02,6468.99,8987.882156,58127213.1393159,6412.672857142858,6503.1455000000005,,,
2018-11-06,6531.31,6468.99,6445.18,6519.11,11926.565699,77336101.1871948,6439.564285714286,6492.056500000001,,,
2018-11-07,6615.15,6522.73,6509.0,6578.46,14271.591117,93820576.6346396,6469.068571428572,6490.031499999999,,,
2018-11-08,6594.0,6578.46,6468.22,6479.84,13259.789282,86450363.6783523,6479.045714285714,6487.579500000001,,,
2018-11-09,6511.53,6479.84,6391.01,6419.99,11787.616583,75997777.5025591,6477.047142857142,6479.159,,,
2018-11-10,6475.55,6419.99,6411.0,6433.05,7714.829926,49745307.6412397,6483.612857142857,6471.306,,,
2018-11-11,6462.14,6435.16,6355.0,6449.81,8213.507117,52709099.3178461,6478.464285714285,6464.7365,,,
2018-11-12,6497.0,6450.71,6421.0,6453.07,10132.782567,65390882.1408842,6476.19,6459.7145,,,
2018-11-13,6498.0,6451.68,6391.15,6457.66,11790.564933,76142983.1519635,6467.4114285714295,6454.3225,,,
2018-11-14,6482.84,6458.98,5656.87,5922.41,46478.964003,279632622.894368,6373.69,6424.038500000001,,,
2018-11-15,5939.54,5917.2,5403.42,5753.4,47700.829401,270133503.661313,6269.912857142857,6384.777,,,
2018-11-16,5782.89,5757.09,5549.25,5655.94,38721.802274,219097215.966752,6160.762857142858,6342.294,,,
2018-11-17,5656.6,5650.57,5565.43,5628.29,26411.241413,148072393.102104,6045.797142857143,6299.212,,,
2018-11-18,5738.17,5630.49,5617.0,5662.0,23844.999347,134893236.986224,5933.2528571428575,6265.087,,,
2018-11-19,5664.0,5661.94,4855.0,4910.03,70580.892856,368688743.454409,5712.818571428572,6194.045,,,
2018-11-20,5048.24,4913.4,4326.0,4558.86,117380.95159,548036628.729357,5441.561428571428,6103.3915,,,
2018-11-21,4787.2,4559.91,4413.85,4661.07,61071.829475,281264433.484659,5261.37,6015.945,,,
2018-11-22,4721.77,4661.08,4335.0,4370.0,34531.119143,157459733.724148,5063.7414285714285,5912.746,,,
2018-11-23,4484.0,4370.9,4222.94,4420.61,49371.920322,215283656.115395,4887.265714285714,5814.422,,,
2018-11-24,4527.0,4415.63,3824.69,3932.44,61693.111006,258702927.699164,4645.001428571429,5686.7515,,,
2018-11-25,4233.0,3933.68,3652.66,4085.78,101693.975588,398253568.529238,4419.827142857143,5567.590999999999,,,
2018-11-26,4206.0,4088.69,3701.0,3862.2,94503.750767,373225761.807408,4270.137142857143,5434.745499999999,,,
2018-11-27,3940.0,3864.45,3689.12,3875.21,67480.607212,257593168.121825,4172.472857142858,5299.5830000000005,,,
2018-11-28,4394.47,3875.63,3874.27,4264.85,91983.567949,382697308.297627,4115.87,5188.8335,,,
2018-11-29,4450.38,4262.06,4125.65,4295.84,73980.198669,316809038.409883,4105.2757142857145,5082.626,6041.575833333333,,
2018-11-30,4341.36,4295.72,3943.0,4041.32,67758.446283,278810574.935784,4051.0914285714284,4963.0395,5998.737666666667,,
2018-12-01,4299.99,4041.27,3963.01,4190.02,44840.073481,186157614.315597,4087.8885714285716,4850.05,5959.808166666667,,
2018-12-02,4312.99,4190.98,4103.04,4161.01,38912.15479,162917339.006474,4098.635714285714,4735.447,5920.658333333334,,
2018-12-03,4179.0,4160.55,3827.0,3884.01,49094.369163,195055919.543373,4101.751428571429,4606.7645,5875.495333333333,,
2018-12-04,4085.0,3884.76,3781.0,3951.64,48489.551613,191673423.706266,4112.67,4508.226000000001,5830.761833333333,,
2018-12-05,3970.0,3950.98,3745.0,3769.84,44004.799448,169404368.191572,4041.9542857142865,4409.048,5783.688,,
2018-12-06,3899.99,3768.44,3500.0,3508.75,68378.796943,254722331.494941,3929.5128571428577,4301.6885,5731.912833333334,,
2018-12-07,3549.99,3508.75,3224.6,3403.55,95145.457442,322364604.280209,3838.4028571428576,4190.4515,5677.421833333333,,
2018-12-08,3495.0,3403.57,3222.0,3410.93,55365.949949,187909876.248947,3727.104285714286,4077.8979999999997,5623.327166666667,,
2018-12-09,3658.0,3411.36,3394.04,3545.37,45956.893296,161618597.82859,3639.155714285714,4009.665,5571.9,,
2018-12-10,3610.0,3548.49,3370.11,3432.88,40989.244553,142507933.073579,3574.7085714285718,3953.3659999999995,5524.903333333334,,
2018-12-11,3480.0,3434.01,3324.32,3380.39,35920.864154,121841475.292819,3493.1014285714286,3889.332,5476.276333333333,,
2018-12-12,3492.0,3379.23,3350.0,3445.0,33922.931286,116227185.792401,3446.695714285714,3843.082,5428.144166666667,,
2018-12-13,3460.0,3446.38,3255.5,3302.06,40040.917013,134817053.727483,3417.1685714285713,3787.1545000000006,5377.522833333333,,
2018-12-14,3335.39,3302.06,3177.0,3224.17,44492.983807,145101409.493598,3391.542857142857,3751.7410000000004,5318.717333333333,,
2018-12-15,3276.5,3225.19,3156.26,3211.72,29796.041436,95588793.6405884,3363.0842857142857,3708.0380000000005,5259.5915,,
2018-12-16,3294.0,3211.71,3186.0,3228.67,24628.808538,80068159.4048184,3317.8414285714284,3676.3615000000004,5201.0545,,
2018-12-17,3585.0,3229.22,3216.0,3509.08,66761.751697,228756567.649547,3328.727142857143,3658.0550000000003,5149.223166666667,,
2018-12-18,3678.59,3509.03,3424.47,3652.98,61369.615257,216563775.025232,3367.6685714285713,3627.4615,5101.2915,,
2018-12-19,3912.73,3653.0,3622.55,3662.22,94137.341014,352638213.538531,3398.7,3595.7805,5052.521833333333,,
2018-12-20,4120.0,3660.01,3635.0,4049.62,101543.835986,399967057.782816,3505.4942857142855,3596.1955000000003,5010.180333333334,,
2018-12-21,4139.99,4051.86,3764.0,3838.66,82343.850112,325803279.96267,3593.2785714285715,3578.6275,4964.471333333334,,
2018-12-22,3979.0,3840.25,3785.0,3948.91,42822.350872,165085567.585566,3698.5914285714284,3568.0225000000005,4921.061333333333,,
2018-12-23,4021.53,3948.91,3870.0,3929.71,40117.531529,158756356.817624,3798.7400000000002,3570.3075,4877.1315,,
2018-12-24,4198.0,3929.71,3924.83,4008.01,64647.809129,264628967.065911,3870.015714285714,3573.126,4835.130166666667,,
2018-12-25,4020.0,4010.11,3646.41,3745.79,62725.629432,235584302.952561,3883.2742857142853,3571.9235,4788.582833333333,,
2018-12-26,3837.15,3745.56,3656.74,3777.74,42629.375817,159705204.504156,3899.777142857143,3585.3730000000005,4743.1185,,
2018-12-27,3813.98,3777.74,3535.0,3567.91,44097.392912,161915849.873105,3830.9614285714283,3593.5909999999994,4694.418166666667,,
2018-12-28,3887.25,3567.89,3540.04,3839.26,45964.304987,170638519.247278,3831.0471428571427,3615.0075000000006,4652.664166666667,,
2018-12-29,3892.0,3839.0,3670.0,3695.32,38874.373903,148205200.107737,3794.8199999999997,3622.5049999999997,4608.738333333334,,
2018-12-30,3903.5,3696.71,3657.9,3801.91,33222.369262,124966229.520229,3776.562857142857,3640.9565000000002,4565.904666666666,,
2018-12-31,3810.0,3803.12,3630.33,3702.9,29991.77835,111847216.117082,3732.9757142857147,3657.082,4520.7863333333335,,
2019-01-01,3810.16,3701.23,3642.0,3797.14,23741.687033,88149249.0923046,3740.3114285714287,3674.689,4476.838999999999,,
2019-01-02,3882.14,3796.45,3750.45,3858.56,35156.463369,133876627.246511,3751.8571428571427,3702.514,4434.696833333333,,
2019-01-03,3862.74,3857.57,3730.0,3766.78,29406.948359,111657372.695265,3780.2671428571425,3729.6445,4389.379,,
2019-01-04,3823.64,3767.2,3703.57,3792.01,29519.554671,111034550.640662,3773.5171428571434,3758.6589999999997,4344.7626666666665,,
2019-01-05,3840.99,3790.09,3751.0,3770.96,30490.667751,115893501.275159,3784.3228571428576,3785.7735000000002,4298.960166666667,,
2019-01-06,4027.71,3771.12,3740.0,3987.6,36553.806709,142198812.189147,3810.85,3809.6994999999997,4255.779166666666,,
2019-01-07,4017.9,3987.62,3921.53,3975.45,31869.846264,126830380.492872,3849.785714285714,3825.8229999999994,4214.039333333333,,
2019-01-08,4069.8,3976.76,3903.0,3955.13,38901.423122,154778846.542366,3872.3557142857144,3840.4685,4172.958333333333,,
2019-01-09,4006.81,3955.45,3930.04,3966.65,28989.439511,115218950.315549,3887.7971428571427,3836.3200000000006,4131.8516666666665,,
2019-01-10,3996.01,3966.06,3540.0,3585.88,59402.22851,221789348.034698,3861.9542857142856,3823.6809999999996,4084.1195,,
2019-01-11,3658.0,3585.88,3465.0,3601.31,38338.654733,137560743.62486,3834.7114285714283,3806.3009999999995,4036.590166666667,,
2019-01-12,3618.19,3601.31,3530.0,3583.13,21999.928354,78908770.6765804,3807.878571428571,3788.972,3988.6813333333334,,
